       Day     Sector   Duration      Start        End        Mix    Formule
13/01/2024          5          7       9:17       9:24       mix1          3
13/01/2024          6         10       9:24       9:34       null          0
14/01/2024          1         14       8:30       8:44       mix1          5
14/01/2024          2          8       8:44       8:52       null          0
14/01/2024          4         25       8:52       9:17       null          0
14/01/2024          5          7       9:17       9:24       mix1          3
15/01/2024          1         14       8:30       8:44       mix1          5
15/01/2024          2          8       8:44       8:52       null          0
15/01/2024          3         25       8:52       9:17       mix2          7
15/01/2024          5          7       9:17       9:24       mix1          3
16/01/2024          1         14       8:30       8:44       mix1          5
16/01/2024          2          8       8:44       8:52       null          0
16/01/2024          4         25       8:52       9:17       null          0
16/01/2024          5          7       9:17       9:24       mix1          3
16/01/2024          6         10       9:24       9:34       null          0
17/01/2024          1         14       8:30       8:44       mix1          5
17/01/2024          2          8       8:44       8:52       null          0
17/01/2024          3         25       8:52       9:17       mix2          7
17/01/2024          5          7       9:17       9:24       mix1          3
18/01/2024          1         14       8:30       8:44       mix1          5
18/01/2024          2          8       8:44       8:52       null          0
18/01/2024          4         25       8:52       9:17       null          0
18/01/2024          5          7       9:17       9:24       mix1          3
19/01/2024          1         14       8:30       8:44       mix1          5
19/01/2024          2          8       8:44       8:52       null          0
19/01/2024          3         25       8:52       9:17       mix2          7
19/01/2024          5          7       9:17       9:24       mix1          3
19/01/2024          6         10       9:24       9:34       null          0
20/01/2024          1         14       8:30       8:44       mix1          5
20/01/2024          2          8       8:44       8:52       null          0
20/01/2024          4         25       8:52       9:17       null          0
20/01/2024          5          7       9:17       9:24       mix1          3
21/01/2024          1         14       8:30       8:44       mix1          5
21/01/2024          2          8       8:44       8:52       null          0
21/01/2024          3         25       8:52       9:17       mix2          7
21/01/2024          5          7       9:17       9:24       mix1          3
22/01/2024          1         14       8:30       8:44       mix1          5
22/01/2024          2          8       8:44       8:52       null          0
22/01/2024          4         25       8:52       9:17       null          0
22/01/2024          5          7       9:17       9:24       mix1          3
22/01/2024          6         10       9:24       9:34       null          0
23/01/2024          1         14       8:30       8:44       mix1          5
23/01/2024          2          8       8:44       8:52       null          0
23/01/2024          3         25       8:52       9:17       mix2          7
23/01/2024          5          7       9:17       9:24       mix1          3
24/01/2024          1         14       8:30       8:44       mix1          5
24/01/2024          2          8       8:44       8:52       null          0
24/01/2024          4         25       8:52       9:17       null          0
24/01/2024          5          7       9:17       9:24       mix1          3
25/01/2024          1         14       8:30       8:44       mix1          5
25/01/2024          2          8       8:44       8:52       null          0
25/01/2024          3         25       8:52       9:17       mix2          7
25/01/2024          5          7       9:17       9:24       mix1          3
25/01/2024          6         10       9:24       9:34       null          0
26/01/2024          1         14       8:30       8:44       mix1          5
26/01/2024          2          8       8:44       8:52       null          0
26/01/2024          4         25       8:52       9:17       null          0
26/01/2024          5          7       9:17       9:24       mix1          3
27/01/2024          1         14       8:30       8:44       mix1          5
27/01/2024          2          8       8:44       8:52       null          0
27/01/2024          3         25       8:52       9:17       mix2          7
27/01/2024          5          7       9:17       9:24       mix1          3
28/01/2024          1         14       8:30       8:44       mix1          5
28/01/2024          2          8       8:44       8:52       null          0
28/01/2024          4         25       8:52       9:17       null          0
28/01/2024          5          7       9:17       9:24       mix1          3
28/01/2024          6         10       9:24       9:34       null          0
29/01/2024          1         14       8:30       8:44       mix1          5
29/01/2024          2          8       8:44       8:52       null          0
29/01/2024          3         25       8:52       9:17       mix2          7
29/01/2024          5          7       9:17       9:24       mix1          3
30/01/2024          1         14       8:30       8:44       mix1          5
30/01/2024          2          8       8:44       8:52       null          0
30/01/2024          4         25       8:52       9:17       null          0
30/01/2024          5          7       9:17       9:24       mix1          3
